x,y,t,intensity
2523,802,0,118
2524,802,0,103
2525,802,0,90
2526,802,0,82
2527,802,0,76
2528,802,0,70
2529,802,0,66
2530,802,0,61
2531,802,0,60
2532,802,0,57
2533,802,0,54
2534,802,0,50
2535,802,0,47
2536,802,0,45
2537,802,0,43
2538,802,0,40
2539,802,0,37
2540,802,0,35
2541,802,0,34
2542,802,0,33
2543,802,0,32
2544,802,0,31
2545,802,0,30
2546,802,0,28
2547,802,0,27
2548,802,0,26
2549,802,0,25
2550,802,0,24
2551,802,0,23
2552,802,0,21
2553,802,0,21
2554,802,0,22
2555,802,0,23
2556,802,0,24
2557,802,0,23
2558,802,0,23
2559,802,0,23
2560,802,0,22
2561,802,0,20
2562,802,0,18
2563,802,0,19
2564,802,0,20
2565,802,0,21
2566,802,0,22
2567,802,0,22
2568,802,0,20
2569,802,0,18
2570,802,0,17
2571,802,0,17
2572,802,0,17
2573,802,0,17
2574,802,0,17
2575,802,0,17
2576,802,0,16
2577,802,0,15
2578,802,0,15
2579,802,0,15
2580,802,0,15
2581,802,0,15
2582,802,0,16
2583,802,0,18
2584,802,0,17
2585,802,0,16
2586,802,0,17
2587,802,0,16
2588,802,0,16
2589,802,0,17
2590,802,0,17
2591,802,0,16
2592,802,0,14
2593,802,0,13
2594,802,0,13
2595,802,0,13
2596,802,0,13
2597,802,0,14
2598,802,0,14
2599,802,0,14
2600,802,0,14
2601,802,0,14
2602,802,0,13
2603,802,0,13
2604,802,0,14
2605,802,0,14
2606,802,0,14
2607,802,0,16
2608,802,0,17
2609,802,0,17
2610,802,0,16
2611,802,0,14
2612,802,0,14
2613,802,0,14
2614,802,0,14
2615,802,0,14
2616,802,0,14
2617,802,0,14
2618,802,0,14
2619,802,0,16
2620,802,0,16
2621,802,0,17
2622,802,0,17
2623,802,0,17
2624,802,0,17
2625,802,0,17
2626,802,0,17
2627,802,0,16
2628,802,0,16
2629,802,0,15
2630,802,0,14
2631,802,0,14
2632,802,0,13
2633,802,0,13
2634,802,0,13
2635,802,0,13
2636,802,0,13
2637,802,0,13
2638,802,0,12
2639,802,0,12
2640,802,0,12
2641,802,0,12
2642,802,0,12
2643,802,0,12
2644,802,0,13
2645,802,0,13
2646,802,0,13
2647,802,0,13
2648,802,0,12
2649,802,0,14
2650,802,0,15
2651,802,0,15
2652,802,0,16
2653,802,0,16
2654,802,0,16
2655,802,0,16
2656,802,0,15
2657,802,0,14
2658,802,0,13
2659,802,0,13
2660,802,0,13
2661,802,0,13
2662,802,0,12
2663,802,0,12
2664,802,0,13
2665,802,0,14
2666,802,0,15
2667,802,0,17
2668,802,0,18
2669,802,0,18
2670,802,0,18
2671,802,0,18
2672,802,0,19
2673,802,0,19
2674,802,0,20
2675,802,0,20
2676,802,0,21
2677,802,0,22
2678,802,0,22
2679,802,0,20
2680,802,0,20
2681,802,0,18
2682,802,0,18
2683,802,0,20
2684,802,0,23
2685,802,0,24
2686,802,0,25
2687,802,0,25
2688,802,0,23
2689,802,0,22
2690,802,0,22
2691,802,0,23
2692,802,0,22
2693,802,0,22
2694,802,0,21
2695,802,0,20
2696,802,0,21
2697,802,0,21
2698,802,0,21
2699,802,0,22
2700,802,0,23
2701,802,0,23
2702,802,0,22
2703,802,0,22
2704,802,0,21
2705,802,0,20
2706,802,0,20
2707,802,0,20
2708,802,0,20
2709,802,0,20
2710,802,0,21
2711,802,0,23
2712,802,0,23
2713,802,0,23
2714,802,0,24
2715,802,0,23
2716,802,0,23
2717,802,0,21
2718,802,0,21
2719,802,0,22
2720,802,0,22
2721,802,0,25
2722,802,0,27
2723,802,0,28
2724,802,0,28
2725,802,0,28
2726,802,0,27
2727,802,0,25
2728,802,0,25
2729,802,0,25
2730,802,0,25
2731,802,0,26
2732,802,0,26
2733,802,0,26
2734,802,0,27
2735,802,0,27
2736,802,0,27
2737,802,0,27
2738,802,0,28
2739,802,0,28
2740,802,0,28
2741,802,0,28
2742,802,0,28
2743,802,0,29
2744,802,0,29
2745,802,0,28
2746,802,0,28
2747,802,0,29
2748,802,0,29
2749,802,0,29
2450,803,0,180
2451,803,0,181
2452,803,0,184
2453,803,0,188
2454,803,0,191
2455,803,0,194
2456,803,0,196
2457,803,0,197
2458,803,0,197
2459,803,0,196
2460,803,0,195
2461,803,0,194
2462,803,0,194
2463,803,0,194
2464,803,0,194
2465,803,0,195
2466,803,0,195
2467,803,0,194
2468,803,0,193
2469,803,0,193
2470,803,0,195
2471,803,0,194
2472,803,0,194
2473,803,0,192
2474,803,0,191
2475,803,0,191
2476,803,0,189
2477,803,0,186
2478,803,0,185
2479,803,0,184
2480,803,0,182
2481,803,0,181
2482,803,0,181
2483,803,0,179
2484,803,0,178
2485,803,0,175
2486,803,0,172
2487,803,0,169
2488,803,0,167
2489,803,0,168
2490,803,0,166
2491,803,0,165
2492,803,0,163
2493,803,0,161
2494,803,0,161
2495,803,0,161
2496,803,0,162
2497,803,0,162
2498,803,0,163
2499,803,0,163
2500,803,0,163
2501,803,0,163
2502,803,0,162
2503,803,0,161
2504,803,0,161
2505,803,0,162
2506,803,0,163
2507,803,0,163
2508,803,0,163
2509,803,0,163
2510,803,0,165
2511,803,0,164
2512,803,0,160
2513,803,0,157
2514,803,0,152
2515,803,0,148
2516,803,0,143
2517,803,0,140
2518,803,0,133
2519,803,0,125
2520,803,0,121
2521,803,0,124
2522,803,0,126
2523,803,0,118
2524,803,0,105
2525,803,0,92
2526,803,0,82
2527,803,0,74
2528,803,0,67
2529,803,0,63
2530,803,0,60
2531,803,0,60
2532,803,0,57
2533,803,0,54
2534,803,0,50
2535,803,0,49
2536,803,0,48
2537,803,0,45
2538,803,0,43
2539,803,0,41
2540,803,0,38
2541,803,0,36
2542,803,0,34
2543,803,0,32
2544,803,0,30
2545,803,0,29
2546,803,0,27
2547,803,0,27
2548,803,0,26
2549,803,0,25
2550,803,0,25
2551,803,0,25
2552,803,0,23
2553,803,0,23
2554,803,0,24
2555,803,0,25
2556,803,0,25
2557,803,0,24
2558,803,0,24
2559,803,0,24
2560,803,0,21
2561,803,0,19
2562,803,0,17
2563,803,0,18
2564,803,0,19
2565,803,0,21
2566,803,0,22
2567,803,0,22
2568,803,0,20
2569,803,0,18
2570,803,0,17
2571,803,0,16
2572,803,0,16
2573,803,0,16
2574,803,0,16
2575,803,0,17
2576,803,0,17
2577,803,0,16
2578,803,0,15
2579,803,0,15
2580,803,0,15
2581,803,0,15
2582,803,0,16
2583,803,0,18
2584,803,0,16
2585,803,0,15
2586,803,0,15
2587,803,0,15
2588,803,0,15
2589,803,0,16
2590,803,0,17
2591,803,0,16
2592,803,0,16
2593,803,0,14
2594,803,0,14
2595,803,0,14
2596,803,0,14
2597,803,0,14
2598,803,0,14
2599,803,0,14
2600,803,0,14
2601,803,0,14
2602,803,0,14
2603,803,0,14
2604,803,0,15
2605,803,0,16
2606,803,0,16
2607,803,0,17
2608,803,0,18
2609,803,0,18
2610,803,0,17
2611,803,0,15
2612,803,0,14
2613,803,0,15
2614,803,0,14
2615,803,0,15
2616,803,0,15
2617,803,0,14
2618,803,0,15
2619,803,0,16
2620,803,0,16
2621,803,0,17
2622,803,0,17
2623,803,0,18
2624,803,0,17
2625,803,0,17
2626,803,0,16
2627,803,0,16
2628,803,0,15
2629,803,0,14
2630,803,0,14
2631,803,0,13
2632,803,0,13
2633,803,0,13
2634,803,0,13
2635,803,0,13
2636,803,0,13
2637,803,0,13
2638,803,0,12
2639,803,0,12
2640,803,0,12
2641,803,0,12
2642,803,0,12
2643,803,0,12
2644,803,0,12
2645,803,0,13
2646,803,0,13
2647,803,0,13
2648,803,0,13
2649,803,0,14
2650,803,0,15
2651,803,0,15
2652,803,0,16
2653,803,0,17
2654,803,0,17
2655,803,0,16
2656,803,0,15
2657,803,0,13
2658,803,0,13
2659,803,0,12
2660,803,0,13
2661,803,0,13
